epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.9139325377157953,0.001,0.7601893133453028,0.8733293189206845,0.7377977661059414
1,0.8553571756016772,0.001,0.7292782294586715,0.8436700679273912,0.7242972862857323
2,0.843344421650946,0.001,0.7223347384872592,0.8492304898675884,0.7224612457122973
3,0.8377690370301357,0.001,0.7185765678553203,0.8276242833193954,0.7110934969719349
4,0.8343222799987963,0.001,0.7163520574724265,0.8281789742162665,0.7150920488519236
5,0.8314502539709592,0.001,0.7145401259311047,0.8270071322404663,0.7108717126804244
6,0.8296637142085763,0.001,0.7134692279044197,0.8258734623103836,0.7064728197104742
7,0.8280680549717263,0.001,0.7124367647292167,0.8234517055208412,0.7093713964771011
8,0.8271583845892286,0.001,0.7117192709937895,0.8246821835784391,0.7078642838266889
9,0.8264043955909179,0.001,0.7111400077669843,0.8278812497123456,0.7107154073568959
10,0.8067830111341447,0.000100000005,0.6959346141967322,0.8056229203200118,0.6934438328087866
11,0.8042532408015843,0.000100000005,0.6935722153514454,0.8043830254446181,0.6923013409935395
12,0.8033188868759068,0.000100000005,0.6927378781577531,0.8042376364924215,0.6919581847643982
13,0.8026918486818211,0.000100000005,0.6922781937595872,0.8033175100252155,0.6911132836877837
14,0.8021319628904502,0.000100000005,0.6919897324412513,0.8028324832500763,0.692292852781019
15,0.8017024739371299,0.000100000005,0.6917263060360462,0.8030595852577078,0.6931466934219402
16,0.8013050529224636,0.000100000005,0.6914881657360237,0.8016846195911872,0.6901005360096222
17,0.8009455365948466,0.000100000005,0.691306696837347,0.8003464853928857,0.6908201560141077
18,0.8006702253654518,0.000100000005,0.691072803107305,0.8004555899480402,0.6900260702191442
19,0.8004549134857363,0.000100000005,0.690934156239312,0.8019195655378603,0.6924786137048218
20,0.7972680094557515,1.0000001e-05,0.6884112881519335,0.7977124464947699,0.6879718335966782
21,0.7967761827379239,1.0000001e-05,0.6879790052914404,0.7974455676549469,0.687540900988802
22,0.7965776447656242,1.0000001e-05,0.6878315268706361,0.7970864377807536,0.6872657118740129
23,0.7964132702810239,1.0000001e-05,0.687699652803328,0.7970552229802694,0.6878014151074855
24,0.7962722095578635,1.0000001e-05,0.6876589627477706,0.7969244199173363,0.6870292124354783
25,0.7961867519809845,1.0000001e-05,0.6875936042665494,0.7968592508223011,0.6873728520198542
26,0.7960722980813907,1.0000001e-05,0.6875361510309486,0.7966857674249224,0.6869616245456818
27,0.7959709229904197,1.0000001e-05,0.6874945022428667,0.7966399720937055,0.6869071663797097
28,0.7958939234819957,1.0000001e-05,0.6874544923563127,0.7965243440664989,0.6872966036500712
29,0.7958110520882972,1.0000001e-05,0.6874121062278093,0.7966488812276762,0.6877727331115658
